ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
A,2026-01-01,2026-03-31,-0.0131566882556948,1,0.77484626,1,1,0.031472422,1,0,flat,314.72422182559967,-0.0131566882556948,-0.0,-0.0,0,0
ABT,2026-01-01,2026-03-31,-0.0302820758949557,1,0.67359173,1,1,0.04487193,1,1,long,448.7193003296852,-0.0302820758949557,-302.820758949557,-302.820758949557,1,0
ACN,2026-01-01,2026-03-31,-0.0613925320634679,1,0.790168,1,1,0.08168043,1,1,long,816.8043196201324,-0.0613925320634679,-613.925320634679,-916.746079584236,1,0
ADBE,2026-01-01,2026-03-31,-0.054459955736738,1,0.7857349,1,1,0.081183195,1,1,long,811.8319511413574,-0.054459955736738,-544.59955736738,-1461.3456369516161,1,0
ADI,2026-01-01,2026-03-31,0.0492808782605669,1,0.7379792,1,1,0.051836263,1,1,long,518.3626338839531,0.0492808782605669,492.808782605669,-968.5368543459472,1,1
ADSK,2026-01-01,2026-03-31,-0.033729253993088,1,0.77867174,1,1,0.05704505,1,1,long,570.4504996538162,-0.033729253993088,-337.29253993088,-1305.8293942768273,1,0
AES,2026-01-01,2026-03-31,-0.0169492596216986,1,0.70128757,1,1,0.0015301108,1,0,flat,15.301108360290527,-0.0169492596216986,-0.0,-1305.8293942768273,0,0
AIG,2026-01-01,2026-03-31,-0.0099805372032755,0,0.75950295,1,1,0.0012805238,1,0,flat,12.805238366127014,-0.0099805372032755,-0.0,-1305.8293942768273,0,0
AKAM,2026-01-01,2026-03-31,-0.0289375669939544,1,0.7904642,1,1,0.05272554,1,1,long,527.2553861141205,-0.0289375669939544,-289.37566993954397,-1595.2050642163713,1,0
ALGN,2026-01-01,2026-03-31,-0.0074508486732323,0,0.8497802,1,1,0.016299985,1,0,flat,162.99985349178314,-0.0074508486732323,-0.0,-1595.2050642163713,0,0
ALL,2026-01-01,2026-03-31,-0.0161378162430692,1,0.69889885,1,1,0.02022199,1,0,flat,202.2198960185051,-0.0161378162430692,-0.0,-1595.2050642163713,0,0
AMAT,2026-01-01,2026-03-31,0.0895785482759199,1,0.85051715,1,1,0.046654873,1,1,long,466.54872596263885,0.0895785482759199,895.7854827591991,-699.4195814571722,1,1
AMCR,2026-01-01,2026-03-31,0.0269612818881694,1,0.8373975,1,1,0.056499325,1,1,long,564.9932473897934,0.0269612818881694,269.612818881694,-429.80676257547816,1,1
AMD,2026-01-01,2026-03-31,0.1006060403425983,1,0.7345027,1,1,0.046220228,1,1,long,462.2022807598114,0.1006060403425983,1006.060403425983,576.2536408505049,1,1
AMGN,2026-01-01,2026-03-31,-0.0447485903638984,1,0.67899966,1,1,0.04521805,1,1,long,452.18050479888916,-0.0447485903638984,-447.48590363898404,128.76773721152085,1,0
AMT,2026-01-01,2026-03-31,-0.0180908043475709,1,0.72209436,1,1,0.07620298,1,1,long,762.0298117399216,-0.0180908043475709,-180.908043475709,-52.140306264188155,1,0
AMZN,2026-01-01,2026-03-31,0.0233722834565515,1,0.75435966,1,1,0.096985,1,1,long,969.8499739170074,0.0233722834565515,233.72283456551497,181.58252830132682,1,1
