ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
ABBV,2025-04-29,2025-05-05,-0.0649015997255834,1,0.7739560485559633,1,-0.04118719080758275,0,-1,short,-411.8719080758275,-0.0649015997255834,649.015997255834,649.015997255834,1,1
AMD,2025-04-29,2025-05-05,0.0405580432325467,1,0.4388784397520523,0,0.028091172718861385,1,1,long,280.91172718861384,0.0405580432325467,405.580432325467,1054.596429581301,1,1
AVGO,2025-04-29,2025-05-05,0.0696254926685076,1,0.8585979199113825,1,-0.04235519424272847,0,-1,short,-423.5519424272847,0.0696254926685076,-696.2549266850759,358.34150289622505,1,0
BAC,2025-04-29,2025-05-05,0.0201743912251635,1,0.6973680290593639,1,-0.01946715963074302,0,-1,short,-194.6715963074302,0.0201743912251635,-201.74391225163498,156.59759064459007,1,0
BRK.B,2025-04-29,2025-05-05,-0.0301024418567499,1,0.09417734788764953,0,-0.021636537356892742,0,-1,short,-216.36537356892742,-0.0301024418567499,301.024418567499,457.6220092120891,1,1
CAT,2025-04-29,2025-05-05,0.0258648509212229,1,0.9756223516367559,1,0.050904259495769065,1,1,long,509.04259495769065,0.0258648509212229,258.648509212229,716.2705184243181,1,1
COST,2025-04-29,2025-05-05,-0.0330587889444975,1,0.761139701990353,1,0.013890437858326509,1,1,long,138.9043785832651,-0.0330587889444975,-330.587889444975,385.68262897934306,1,0
CSCO,2025-04-29,2025-05-05,0.0053152958774498,0,0.7860643052769538,1,-0.0062756510454277815,0,-1,short,-62.756510454277816,0.0053152958774498,-53.152958774497996,332.52967020484505,1,0
CVX,2025-04-29,2025-05-05,0.0108655473417809,1,0.12811363267554587,0,0.020156886866965734,1,1,long,201.56886866965735,0.0108655473417809,108.655473417809,441.18514362265404,1,1
GE,2025-04-29,2025-05-05,0.0136081052337522,1,0.45038593789556713,0,-0.07679651965535461,0,-1,short,-767.9651965535461,0.0136081052337522,-136.081052337522,305.10409128513203,1,0
GOOG,2025-04-29,2025-05-05,-0.0732644265570043,1,0.37079802423258124,0,-2.850464015281739e-06,0,-1,short,-0.02850464015281739,-0.0732644265570043,732.644265570043,1037.748356855175,1,1
GS,2025-04-29,2025-05-05,0.0224943256694873,1,0.9267649888486018,1,0.0759198087168415,1,1,long,759.198087168415,0.0224943256694873,224.943256694873,1262.691613550048,1,1
HD,2025-04-29,2025-05-05,0.0067799439493918,0,0.6438651200806645,1,0.006525917379941132,1,1,long,65.25917379941133,0.0067799439493918,67.799439493918,1330.491053043966,1,1
INTC,2025-04-29,2025-05-05,0.0599275543607669,1,0.82276161327083,1,0.004128663732989981,1,1,long,41.286637329899804,0.0599275543607669,599.2755436076691,1929.7665966516352,1,1
JNJ,2025-04-29,2025-05-05,-0.039848725829681,1,0.44341419882733113,0,0.02199515511863039,1,1,long,219.9515511863039,-0.039848725829681,-398.48725829681,1531.279338354825,1,0
KO,2025-04-29,2025-05-05,-0.0645654189046067,1,0.2272387217847769,0,0.03492309296007171,1,1,long,349.2309296007171,-0.0645654189046067,-645.6541890460669,885.6251493087582,1,0
LLY,2025-04-29,2025-05-05,-0.114511172261678,1,0.5545847870158348,1,-0.07271415737886078,0,-1,short,-727.1415737886077,-0.114511172261678,1145.1117226167798,2030.736871925538,1,1
