feature,importance
volatility_20,0.151478311735305
week_of_year,0.09259382248203005
volume_vs_ma_5,0.09008092079592624
volume,0.08978883640837854
days_from_start,0.08625669707949024
vol_ma_5,0.08432138954998501
price_vs_ma_5,0.08033270033949005
price_vs_ma_20,0.0794661944542138
price_ma_5,0.06162663703832704
price_ma_20,0.06155985966234813
close,0.05806076146892717
month,0.045820833076999294
event_text_char_count,0.00825144012653633
finnhub_event_count,0.002370842562455016
has_text,0.0020144423589586063
text_source_count,0.0018177814993951592
has_finnhub_news,0.0010749081271951488
sec_event_count,0.0010746153867251683
has_sec_filing,0.0010224736122406897
sec_filing_text_count,0.0009865322350733389
has_yahoo_news,0.0
yahoo_event_count,0.0
