ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
AAPL,2025-12-02,2025-12-08,-0.0092207925343069,0,0.4919134080725767,1,1,-0.002789864331096378,0,0,flat,-27.89864331096378,-0.0092207925343069,-0.0,-0.0,0,0
ABBV,2025-12-02,2025-12-08,0.0237884092262226,1,0.4970428144910736,1,1,0.0005655408106755331,1,0,flat,5.655408106755331,0.0237884092262226,0.0,0.0,0,0
ADBE,2025-12-02,2025-12-08,0.0398559600172347,1,0.5313498130532214,1,1,0.0013985332315861012,1,0,flat,13.985332315861012,0.0398559600172347,0.0,0.0,0,0
ADM,2025-12-02,2025-12-08,0.043387703659304,1,0.5148640170210428,1,1,0.0005309141624565641,1,0,flat,5.309141624565641,0.043387703659304,0.0,0.0,0,0
ADP,2025-12-02,2025-12-08,0.035201199114544,1,0.48623690747803744,1,1,-0.0031038990916792126,0,0,flat,-31.038990916792127,0.035201199114544,0.0,0.0,0,0
ADSK,2025-12-02,2025-12-08,-0.0191094185278345,1,0.4658132472242184,1,1,-0.0029062303522876753,0,0,flat,-29.062303522876753,-0.0191094185278345,-0.0,0.0,0,0
AEE,2025-12-02,2025-12-08,0.0070184603618104,0,0.48049462173042684,1,1,-0.002106671835467568,0,0,flat,-21.06671835467568,0.0070184603618104,0.0,0.0,0,0
AEP,2025-12-02,2025-12-08,0.0047273768461948,0,0.48752949085222114,1,1,-0.001991683408604152,0,0,flat,-19.91683408604152,0.0047273768461948,0.0,0.0,0,0
AES,2025-12-02,2025-12-08,0.0043817946701287,0,0.5335484219480731,1,1,-0.00271216816547946,0,0,flat,-27.1216816547946,0.0043817946701287,0.0,0.0,0,0
AIG,2025-12-02,2025-12-08,0.1352952573313375,1,0.49087281715268105,1,1,-0.003098625727491589,0,0,flat,-30.98625727491589,0.1352952573313375,0.0,0.0,0,0
AJG,2025-12-02,2025-12-08,0.0814891724590605,1,0.4633872765856647,1,1,-0.001831761299266395,0,0,flat,-18.31761299266395,0.0814891724590605,0.0,0.0,0,0
AKAM,2025-12-02,2025-12-08,0.0185636874127521,1,0.5167546667791664,1,1,0.0008762016611454687,1,0,flat,8.762016611454687,0.0185636874127521,0.0,0.0,0,0
ALB,2025-12-02,2025-12-08,0.046984543954812,1,0.6143502180662881,1,1,0.0175844047413866,1,0,flat,175.84404741386598,0.046984543954812,0.0,0.0,0,0
ALGN,2025-12-02,2025-12-08,0.0364087054154986,1,0.5059749073498389,1,1,0.0010462983162552305,1,0,flat,10.462983162552305,0.0364087054154986,0.0,0.0,0,0
ALL,2025-12-02,2025-12-08,0.0594920597110233,1,0.49703259758460555,1,1,-0.002155568295717758,0,0,flat,-21.55568295717758,0.0594920597110233,0.0,0.0,0,0
ALLE,2025-12-02,2025-12-08,0.0308201458552521,1,0.4512988514325648,1,1,-0.0026821749337028146,0,0,flat,-26.821749337028145,0.0308201458552521,0.0,0.0,0,0
AMAT,2025-12-02,2025-12-08,-0.0213119001075874,1,0.5586316165390265,1,1,0.0015256611569197385,1,0,flat,15.256611569197386,-0.0213119001075874,-0.0,0.0,0,0
AMD,2025-12-02,2025-12-08,-0.056809461907813,1,0.61457477367244,1,1,0.011778512588,1,0,flat,117.78512588000001,-0.056809461907813,-0.0,0.0,0,0
AME,2025-12-02,2025-12-08,0.0241048304755355,1,0.48269047050535385,1,1,-0.003090035161756659,0,0,flat,-30.90035161756659,0.0241048304755355,0.0,0.0,0,0
AMGN,2025-12-02,2025-12-08,0.0170829329350186,1,0.5288041500360021,1,1,0.000741501790273633,1,0,flat,7.41501790273633,0.0170829329350186,0.0,0.0,0,0
AMP,2025-12-02,2025-12-08,0.0353426177804347,1,0.4794695934846214,1,1,0.00023704528849299107,1,0,flat,2.370452884929911,0.0353426177804347,0.0,0.0,0,0
APA,2025-12-02,2025-12-08,-0.0289004789851758,1,0.5713947542913586,1,1,0.002175392110378759,1,0,flat,21.75392110378759,-0.0289004789851758,-0.0,0.0,0,0
APD,2025-12-02,2025-12-08,0.042339839699929,1,0.5605808012722023,1,1,2.4930517311751917e-05,1,0,flat,0.24930517311751918,0.042339839699929,0.0,0.0,0,0
APH,2025-12-02,2025-12-08,-0.0681585042503298,1,0.521380438677024,1,1,0.0005465185730770297,1,0,flat,5.465185730770297,-0.0681585042503298,-0.0,0.0,0,0
APO,2025-12-02,2025-12-08,0.0731691355760666,1,0.5149994147794812,1,1,0.0006906295279599324,1,0,flat,6.906295279599324,0.0731691355760666,0.0,0.0,0,0
APP,2025-12-02,2025-12-08,-0.0167777847946773,1,0.6196903268664099,1,1,0.014425877144385903,1,0,flat,144.25877144385902,-0.0167777847946773,-0.0,0.0,0,0
APTV,2025-12-02,2025-12-08,0.0078846052131045,0,0.5313302209926944,1,1,0.000529450615286559,1,0,flat,5.29450615286559,0.0078846052131045,0.0,0.0,0,0
ARES,2025-12-02,2025-12-08,0.0556419588936352,1,0.5059674511115173,1,1,7.923194340752568e-05,1,0,flat,0.7923194340752568,0.0556419588936352,0.0,0.0,0,0
ATO,2025-12-02,2025-12-08,0.026408413707768,1,0.44971177359209524,1,1,-0.002204957966615036,0,0,flat,-22.049579666150358,0.026408413707768,0.0,0.0,0,0
