feature,importance
volatility_20,0.15388394865656715
price_vs_ma_5,0.1107432072735284
volume_vs_ma_5,0.0984267804716376
price_ma_20,0.09458765029238347
price_vs_ma_20,0.09450669364325319
close,0.09130173169023997
volume,0.0900388658924867
price_ma_5,0.0860700030380518
vol_ma_5,0.08514809208495848
days_from_start,0.04352666019910482
week_of_year,0.02231510298846517
month,0.019599699545904136
event_text_char_count,0.00281439598510481
sec_event_count,0.0018114595269815641
finnhub_event_count,0.0014736095091861924
has_text,0.0011441706130294051
has_sec_filing,0.0010691916651870317
text_source_count,0.0006276351963115502
sec_filing_text_count,0.0006025485541537869
has_finnhub_news,0.00030855317346461435
yahoo_event_count,0.0
has_yahoo_news,0.0
