ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
A,2026-01-01,2026-03-31,-0.0131566882556948,1,0.6251752292294797,1,1,0.014533729202618709,1,1,long,145.3372920261871,-0.0131566882556948,-131.566882556948,-131.566882556948,1,0
ABT,2026-01-01,2026-03-31,-0.0302820758949557,1,0.5974695434428783,1,1,-0.0010313358543035923,0,0,flat,-10.313358543035923,-0.0302820758949557,-0.0,-131.566882556948,0,0
ACN,2026-01-01,2026-03-31,-0.0613925320634679,1,0.6481070301678088,1,1,0.016971981146652836,1,1,long,169.71981146652837,-0.0613925320634679,-613.925320634679,-745.492203191627,1,0
ADBE,2026-01-01,2026-03-31,-0.054459955736738,1,0.6650539059427318,1,1,0.012278870539930473,1,1,long,122.78870539930473,-0.054459955736738,-544.59955736738,-1290.091760559007,1,0
ADI,2026-01-01,2026-03-31,0.0492808782605669,1,0.7042358120823542,1,1,0.016851789961659255,1,1,long,168.51789961659256,0.0492808782605669,492.808782605669,-797.2829779533381,1,1
ADSK,2026-01-01,2026-03-31,-0.033729253993088,1,0.5803117652828612,1,1,0.017277088461993106,1,1,long,172.77088461993105,-0.033729253993088,-337.29253993088,-1134.5755178842182,1,0
AES,2026-01-01,2026-03-31,-0.0169492596216986,1,0.6671229521071105,1,1,0.001188417639769584,1,0,flat,11.88417639769584,-0.0169492596216986,-0.0,-1134.5755178842182,0,0
AIG,2026-01-01,2026-03-31,-0.0099805372032755,0,0.5926457537362214,1,1,0.019225361255729056,1,1,long,192.25361255729055,-0.0099805372032755,-99.805372032755,-1234.3808899169733,1,0
AKAM,2026-01-01,2026-03-31,-0.0289375669939544,1,0.6775119778839458,1,1,0.02302178388784637,1,1,long,230.2178388784637,-0.0289375669939544,-289.37566993954397,-1523.7565598565172,1,0
ALGN,2026-01-01,2026-03-31,-0.0074508486732323,0,0.7186334529880789,1,1,0.018400098903435448,1,1,long,184.0009890343545,-0.0074508486732323,-74.50848673232301,-1598.2650465888403,1,0
ALL,2026-01-01,2026-03-31,-0.0161378162430692,1,0.530626209733815,1,1,0.002235534455965339,1,0,flat,22.35534455965339,-0.0161378162430692,-0.0,-1598.2650465888403,0,0
AMAT,2026-01-01,2026-03-31,0.0895785482759199,1,0.7560863932189992,1,1,0.0018887975229032279,1,0,flat,18.88797522903228,0.0895785482759199,0.0,-1598.2650465888403,0,0
AMCR,2026-01-01,2026-03-31,0.0269612818881694,1,0.8383383391549895,1,1,0.021047253220312218,1,1,long,210.47253220312217,0.0269612818881694,269.612818881694,-1328.6522277071463,1,1
AMD,2026-01-01,2026-03-31,0.1006060403425983,1,0.7439438247703474,1,1,0.009415594415024842,1,1,long,94.15594415024842,0.1006060403425983,1006.060403425983,-322.5918242811632,1,1
AMGN,2026-01-01,2026-03-31,-0.0447485903638984,1,0.5992237897732622,1,1,0.00847564829863791,1,0,flat,84.7564829863791,-0.0447485903638984,-0.0,-322.5918242811632,0,0
AMT,2026-01-01,2026-03-31,-0.0180908043475709,1,0.6266881292814264,1,1,0.01806870334436464,1,1,long,180.68703344364638,-0.0180908043475709,-180.908043475709,-503.4998677568722,1,0
AMZN,2026-01-01,2026-03-31,0.0233722834565515,1,0.6785287707836356,1,1,0.025931536794513696,1,1,long,259.315367945137,0.0233722834565515,233.72283456551497,-269.77703319135725,1,1
AON,2026-01-01,2026-03-31,-0.0173259708332105,1,0.6561097938913178,1,1,0.016623669854717183,1,1,long,166.23669854717184,-0.0173259708332105,-173.259708332105,-443.03674152346224,1,0
APA,2026-01-01,2026-03-31,-0.1258969416685549,1,0.7902729160415981,1,1,0.007264308431028765,1,0,flat,72.64308431028765,-0.1258969416685549,-0.0,-443.03674152346224,0,0
APD,2026-01-01,2026-03-31,-0.0114808027771153,1,0.5592528309627963,1,1,0.009419549491623281,1,1,long,94.19549491623282,-0.0114808027771153,-114.808027771153,-557.8447692946153,1,0
