ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
ABBV,2025-04-29,2025-05-05,-0.0649015997255834,1,0.6210843333330281,1,-0.0025718902922590063,0,-1,short,-25.718902922590065,-0.0649015997255834,649.015997255834,649.015997255834,1,1
AMD,2025-04-29,2025-05-05,0.0405580432325467,1,0.7475263300311461,1,0.0016022851905315872,1,1,long,16.02285190531587,0.0405580432325467,405.580432325467,1054.596429581301,1,1
AVGO,2025-04-29,2025-05-05,0.0696254926685076,1,0.7056594388628572,1,-0.0016926052961555552,0,-1,short,-16.926052961555552,0.0696254926685076,-696.2549266850759,358.34150289622505,1,0
BAC,2025-04-29,2025-05-05,0.0201743912251635,1,0.6357564484893399,1,-0.0005012438436394106,0,-1,short,-5.012438436394105,0.0201743912251635,-201.74391225163498,156.59759064459007,1,0
BRK.B,2025-04-29,2025-05-05,-0.0301024418567499,1,0.7098082454699324,1,0.004973984303841397,1,1,long,49.73984303841397,-0.0301024418567499,-301.024418567499,-144.42682792290896,1,0
CAT,2025-04-29,2025-05-05,0.0258648509212229,1,0.5233287254256345,1,0.0015715180957047087,1,1,long,15.715180957047087,0.0258648509212229,258.648509212229,114.22168128932003,1,1
COST,2025-04-29,2025-05-05,-0.0330587889444975,1,0.7380873151102983,1,-0.0014932359644496242,0,-1,short,-14.932359644496241,-0.0330587889444975,330.587889444975,444.80957073429505,1,1
CSCO,2025-04-29,2025-05-05,0.0053152958774498,0,0.6398888631191002,1,0.0015728840218288819,1,1,long,15.728840218288818,0.0053152958774498,53.152958774497996,497.96252950879307,1,1
CVX,2025-04-29,2025-05-05,0.0108655473417809,1,0.6896002923743296,1,-0.002108721686006665,0,-1,short,-21.08721686006665,0.0108655473417809,-108.655473417809,389.3070560909841,1,0
GE,2025-04-29,2025-05-05,0.0136081052337522,1,0.6467981483726852,1,-0.002274680951022301,0,-1,short,-22.74680951022301,0.0136081052337522,-136.081052337522,253.22600375346207,1,0
GOOG,2025-04-29,2025-05-05,-0.0732644265570043,1,0.5666952409404579,1,0.0017118263784589949,1,1,long,17.11826378458995,-0.0732644265570043,-732.644265570043,-479.4182618165809,1,0
GS,2025-04-29,2025-05-05,0.0224943256694873,1,0.5984090438400806,1,-0.0023094849525149732,0,-1,short,-23.094849525149733,0.0224943256694873,-224.943256694873,-704.3615185114539,1,0
HD,2025-04-29,2025-05-05,0.0067799439493918,0,0.5820976562219883,1,-0.0026689372711995894,0,-1,short,-26.689372711995894,0.0067799439493918,-67.799439493918,-772.160958005372,1,0
INTC,2025-04-29,2025-05-05,0.0599275543607669,1,0.7644640154597542,1,0.0009766383581733924,1,1,long,9.766383581733924,0.0599275543607669,599.2755436076691,-172.8854143977029,1,1
JNJ,2025-04-29,2025-05-05,-0.039848725829681,1,0.5883362670284132,1,-0.0036674235161501725,0,-1,short,-36.67423516150173,-0.039848725829681,398.48725829681,225.6018438991071,1,1
KO,2025-04-29,2025-05-05,-0.0645654189046067,1,0.6271410655402093,1,-0.004353031238956551,0,-1,short,-43.53031238956551,-0.0645654189046067,645.6541890460669,871.256032945174,1,1
LLY,2025-04-29,2025-05-05,-0.114511172261678,1,0.6824163597362083,1,-0.0017911769924706638,0,-1,short,-17.91176992470664,-0.114511172261678,1145.1117226167798,2016.3677555619538,1,1
LRCX,2025-04-29,2025-05-05,0.0785395536037083,1,0.7414970909668616,1,0.0013186905437301095,1,1,long,13.186905437301094,0.0785395536037083,785.395536037083,2801.763291599037,1,1
MA,2025-04-29,2025-05-05,-0.0037363343403273,0,0.5817113796998375,1,0.0015210828261385794,1,1,long,15.210828261385794,-0.0037363343403273,-37.363343403273,2764.399948195764,1,0
META,2025-04-29,2025-05-05,0.0327143971500571,1,0.6323421452275195,1,-0.0035775521280327583,0,-1,short,-35.77552128032758,0.0327143971500571,-327.14397150057096,2437.255976695193,1,0
MRK,2025-04-29,2025-05-05,-0.0633926039760484,1,0.6390465364988991,1,-0.003275152445880382,0,-1,short,-32.75152445880382,-0.0633926039760484,633.9260397604841,3071.182016455677,1,1
MS,2025-04-29,2025-05-05,0.0280742593417038,1,0.6710493867930591,1,0.002071607970343597,1,1,long,20.716079703435973,0.0280742593417038,280.742593417038,3351.924609872715,1,1
MSFT,2025-04-29,2025-05-05,-0.0042892188743766,0,0.5620031969983832,1,-0.003951364901256269,0,-1,short,-39.51364901256269,-0.0042892188743766,42.892188743766,3394.816798616481,1,1
NFLX,2025-04-29,2025-05-05,-0.0555161524331504,1,0.6946239717049992,1,-0.009937060838824242,0,-1,short,-99.37060838824242,-0.0555161524331504,555.161524331504,3949.978322947985,1,1
ORCL,2025-04-29,2025-05-05,0.0188177152328792,1,0.6531568802422844,1,-0.0006338230253086572,0,-1,short,-6.338230253086572,0.0188177152328792,-188.177152328792,3761.801170619193,1,0
PG,2025-04-29,2025-05-05,-0.0212674731416249,1,0.6565217680370276,1,-0.0047977287217206375,0,-1,short,-47.977287217206374,-0.0212674731416249,212.67473141624902,3974.475902035442,1,1
PM,2025-04-29,2025-05-05,-0.0825710438490935,1,0.5923291572757037,1,-0.00195313521720956,0,-1,short,-19.531352172095602,-0.0825710438490935,825.710438490935,4800.186340526377,1,1
UNH,2025-04-29,2025-05-05,-0.0986761691324459,1,0.7068750646285744,1,0.0048879343515443935,1,1,long,48.879343515443935,-0.0986761691324459,-986.761691324459,3813.4246492019174,1,0
XOM,2025-04-29,2025-05-05,0.0227347267891069,1,0.6914534377272374,1,-0.002420731221604172,0,-1,short,-24.207312216041718,0.0227347267891069,-227.347267891069,3586.0773813108485,1,0
ABBV,2025-05-06,2025-05-12,-0.0433712930893189,1,0.6621827805752247,1,0.00026441350268756954,1,1,long,2.6441350268756953,-0.0433712930893189,-433.71293089318897,3152.3644504176596,1,0
AMD,2025-05-06,2025-05-12,0.0407959328710405,1,0.7716230313423599,1,-0.005553397409116979,0,-1,short,-55.53397409116979,0.0407959328710405,-407.959328710405,2744.4051217072547,1,0
AVGO,2025-05-06,2025-05-12,0.0204107642680315,1,0.6406166183012967,1,-0.008983747416992252,0,-1,short,-89.83747416992252,0.0204107642680315,-204.10764268031502,2540.2974790269395,1,0
BAC,2025-05-06,2025-05-12,0.0120862312694127,1,0.6204981942936868,1,0.0021296242307564162,1,1,long,21.296242307564164,0.0120862312694127,120.862312694127,2661.1597917210665,1,1
BRK.B,2025-05-06,2025-05-12,-0.0241460189021915,1,0.6691379186721886,1,-0.004479866462483465,0,-1,short,-44.79866462483464,-0.0241460189021915,241.460189021915,2902.6199807429816,1,1
CAT,2025-05-06,2025-05-12,0.0088190144852204,0,0.6145884127592471,1,0.004087638912129182,1,1,long,40.87638912129182,0.0088190144852204,88.190144852204,2990.8101255951856,1,1
COST,2025-05-06,2025-05-12,-0.0025314900348407,0,0.753042344999332,1,-0.0035183063596479686,0,-1,short,-35.183063596479684,-0.0025314900348407,25.314900348407,3016.1250259435924,1,1
CSCO,2025-05-06,2025-05-12,0.0160522131526974,1,0.592542623372104,1,0.002459625052402872,1,1,long,24.59625052402872,0.0160522131526974,160.522131526974,3176.6471574705665,1,1
CVX,2025-05-06,2025-05-12,-0.0306223180477752,1,0.6111560943633519,1,0.00299424600273831,1,1,long,29.9424600273831,-0.0306223180477752,-306.223180477752,2870.4239769928145,1,0
GE,2025-05-06,2025-05-12,0.0541965545856464,1,0.6242529401544072,1,-0.0014317696703671488,0,-1,short,-14.317696703671487,0.0541965545856464,-541.965545856464,2328.4584311363506,1,0
GOOG,2025-05-06,2025-05-12,0.0315165105608272,1,0.6262032652752921,1,-0.0007133450353740208,0,-1,short,-7.133450353740208,0.0315165105608272,-315.16510560827203,2013.2933255280786,1,0
GS,2025-05-06,2025-05-12,0.015012566881724,1,0.6320611175961366,1,-0.001432741362464325,0,-1,short,-14.32741362464325,0.015012566881724,-150.12566881724,1863.1676567108386,1,0
HD,2025-05-06,2025-05-12,-0.0130236802413019,1,0.5933985385417728,1,0.0031370971807952847,1,1,long,31.37097180795285,-0.0130236802413019,-130.236802413019,1732.9308542978197,1,0
INTC,2025-05-06,2025-05-12,-0.0565008666109584,1,0.8495696508487793,1,-0.00664691066935648,0,-1,short,-66.4691066935648,-0.0565008666109584,565.0086661095839,2297.9395204074035,1,1
JNJ,2025-05-06,2025-05-12,-0.0311368156224437,1,0.6370172431738796,1,-0.0032774733045346054,0,-1,short,-32.77473304534605,-0.0311368156224437,311.368156224437,2609.3076766318404,1,1
KO,2025-05-06,2025-05-12,0.0140852298139948,1,0.6255898723009286,1,-0.002384828058409291,0,-1,short,-23.84828058409291,0.0140852298139948,-140.852298139948,2468.4553784918926,1,0
LLY,2025-05-06,2025-05-12,-0.0189926202568289,1,0.755853749133646,1,0.003791274120309997,1,1,long,37.91274120309997,-0.0189926202568289,-189.926202568289,2278.5291759236034,1,0
LRCX,2025-05-06,2025-05-12,-0.00134406689411,0,0.7020631390396059,1,-0.021903296187633522,0,-1,short,-219.03296187633524,-0.00134406689411,13.440668941099998,2291.969844864703,1,1
MA,2025-05-06,2025-05-12,-0.006356095510738,0,0.6266282753308354,1,0.0008981690359508785,1,1,long,8.981690359508786,-0.006356095510738,-63.560955107379996,2228.4088897573233,1,0
META,2025-05-06,2025-05-12,-0.0188683008754406,1,0.6195989121751593,1,-0.01058083007590981,0,-1,short,-105.8083007590981,-0.0188683008754406,188.683008754406,2417.091898511729,1,1
MRK,2025-05-06,2025-05-12,-0.0602183338066885,1,0.6647062512088759,1,0.0026353048013088034,1,1,long,26.353048013088035,-0.0602183338066885,-602.183338066885,1814.9085604448442,1,0
MS,2025-05-06,2025-05-12,0.0093173614618382,0,0.6370706108200729,1,-0.0012606352368327639,0,-1,short,-12.606352368327638,0.0093173614618382,-93.17361461838199,1721.734945826462,1,0
MSFT,2025-05-06,2025-05-12,0.0028335937756176,0,0.6336045636371224,1,-0.0014425437344248043,0,-1,short,-14.425437344248042,0.0028335937756176,-28.335937756175998,1693.399008070286,1,0
NFLX,2025-05-06,2025-05-12,0.0531172774429524,1,0.6980731090635574,1,-0.01884732351922816,0,-1,short,-188.4732351922816,0.0531172774429524,-531.172774429524,1162.226233640762,1,0
ORCL,2025-05-06,2025-05-12,-0.0050399136835954,0,0.6284905117284001,1,-0.004220749269382282,0,-1,short,-42.20749269382282,-0.0050399136835954,50.399136835953996,1212.6253704767162,1,1
PG,2025-05-06,2025-05-12,0.0036198822961186,0,0.6231096384129708,1,-0.003182687395821836,0,-1,short,-31.826873958218357,0.0036198822961186,-36.198822961186,1176.4265475155303,1,0
PM,2025-05-06,2025-05-12,0.030165286642722,1,0.674548423173843,1,-0.003875715380150248,0,-1,short,-38.75715380150248,0.030165286642722,-301.65286642722,874.7736810883102,1,0
UNH,2025-05-06,2025-05-12,-0.186399230201831,1,0.7407079868206706,1,0.011740401040439288,1,1,long,117.40401040439288,-0.186399230201831,-1863.99230201831,-989.2186209299998,1,0
XOM,2025-05-06,2025-05-12,-0.0360918053453986,1,0.5780749369066173,1,0.002419864203913086,1,1,long,24.19864203913086,-0.0360918053453986,-360.91805345398603,-1350.1366743839858,1,0
ABBV,2025-05-13,2025-05-19,0.007106755731239,0,0.5941049397101112,1,-0.0013999427557318484,0,-1,short,-13.999427557318484,0.007106755731239,-71.06755731239001,-1421.2042316963757,1,0
AMD,2025-05-13,2025-05-19,0.005484029765599,0,0.71557677052823,1,-0.007618388763899772,0,-1,short,-76.18388763899772,0.005484029765599,-54.84029765599,-1476.0445293523658,1,0
AVGO,2025-05-13,2025-05-19,0.0288192961888457,1,0.6310709402439373,1,-0.008839289485752482,0,-1,short,-88.39289485752482,0.0288192961888457,-288.19296188845703,-1764.2374912408227,1,0
BAC,2025-05-13,2025-05-19,-0.0052321608682904,0,0.5550071604274192,1,-0.004009909140703753,0,-1,short,-40.099091407037534,-0.0052321608682904,52.321608682904,-1711.9158825579186,1,1
BRK.B,2025-05-13,2025-05-19,0.0007489833224406,0,0.6054815084650449,1,-0.003614082391946518,0,-1,short,-36.14082391946518,0.0007489833224406,-7.4898332244059995,-1719.4057157823247,1,0
CAT,2025-05-13,2025-05-19,0.0040463182782406,0,0.552160255056097,1,-0.0023884748689325845,0,-1,short,-23.884748689325846,0.0040463182782406,-40.463182782406,-1759.8688985647307,1,0
COST,2025-05-13,2025-05-19,-0.008947709657653,0,0.7179804955027457,1,0.002753088524025141,1,1,long,27.530885240251408,-0.008947709657653,-89.47709657653,-1849.3459951412606,1,0
CSCO,2025-05-13,2025-05-19,0.0043932099707851,0,0.605426236795934,1,-0.004125541985127592,0,-1,short,-41.255419851275924,0.0043932099707851,-43.932099707851,-1893.2780948491115,1,0
CVX,2025-05-13,2025-05-19,0.0022870237298968,0,0.624273462866487,1,-0.0031307011986624446,0,-1,short,-31.307011986624445,0.0022870237298968,-22.870237298968,-1916.1483321480796,1,0
GE,2025-05-13,2025-05-19,0.0346358971199108,1,0.6183455542918876,1,-0.0014517534534270763,0,-1,short,-14.517534534270764,0.0346358971199108,-346.358971199108,-2262.5073033471876,1,0
