feature,importance
text_source_count,0.121112235
has_finnhub_news,0.07111199
week_of_year,0.06831524
volatility_20,0.0659194
days_from_start,0.06514312
month,0.057118256
volume,0.05080139
volume_vs_ma_5,0.04838186
has_text,0.046673447
vol_ma_5,0.044537712
price_ma_5,0.0438289
price_ma_20,0.043325085
price_vs_ma_20,0.04306561
finnhub_event_count,0.04227218
price_vs_ma_5,0.041913368
event_text_char_count,0.041363996
close,0.038940977
sec_event_count,0.033214726
sec_filing_text_count,0.032960564
has_yahoo_news,0.0
yahoo_event_count,0.0
has_sec_filing,0.0
