ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
AAPL,2025-12-02,2025-12-08,-0.0092207925343069,0,0.73450506,1,1,-0.015207753516733646,0,0,flat,-152.07753516733646,-0.0092207925343069,-0.0,-0.0,0,0
ABBV,2025-12-02,2025-12-08,0.0237884092262226,1,0.80879945,1,1,-0.0033471272327005863,0,0,flat,-33.47127232700586,0.0237884092262226,0.0,0.0,0,0
ADBE,2025-12-02,2025-12-08,0.0398559600172347,1,0.8041507,1,1,0.003466869005933404,1,0,flat,34.66869005933404,0.0398559600172347,0.0,0.0,0,0
ADM,2025-12-02,2025-12-08,0.043387703659304,1,0.80742246,1,1,-0.008599404245615005,0,0,flat,-85.99404245615005,0.043387703659304,0.0,0.0,0,0
ADP,2025-12-02,2025-12-08,0.035201199114544,1,0.79367733,1,1,-0.013705356977880001,0,0,flat,-137.0535697788,0.035201199114544,0.0,0.0,0,0
ADSK,2025-12-02,2025-12-08,-0.0191094185278345,1,0.7526611,1,1,-0.013395816087722778,0,0,flat,-133.95816087722778,-0.0191094185278345,-0.0,0.0,0,0
AEE,2025-12-02,2025-12-08,0.0070184603618104,0,0.80819917,1,1,-0.014383900910615921,0,0,flat,-143.8390091061592,0.0070184603618104,0.0,0.0,0,0
AEP,2025-12-02,2025-12-08,0.0047273768461948,0,0.8237247,1,1,-0.010561243630945683,0,0,flat,-105.61243630945683,0.0047273768461948,0.0,0.0,0,0
AES,2025-12-02,2025-12-08,0.0043817946701287,0,0.80188924,1,1,-0.009709845297038555,0,0,flat,-97.09845297038555,0.0043817946701287,0.0,0.0,0,0
AIG,2025-12-02,2025-12-08,0.1352952573313375,1,0.8126504,1,1,-0.014597549103200436,0,0,flat,-145.97549103200436,0.1352952573313375,0.0,0.0,0,0
AJG,2025-12-02,2025-12-08,0.0814891724590605,1,0.8063396,1,1,-0.010991169139742851,0,0,flat,-109.91169139742851,0.0814891724590605,0.0,0.0,0,0
AKAM,2025-12-02,2025-12-08,0.0185636874127521,1,0.8191764,1,1,-0.0091667789965868,0,0,flat,-91.667789965868,0.0185636874127521,0.0,0.0,0,0
ALB,2025-12-02,2025-12-08,0.046984543954812,1,0.8827398,1,1,0.02164173312485218,1,0,flat,216.4173312485218,0.046984543954812,0.0,0.0,0,0
ALGN,2025-12-02,2025-12-08,0.0364087054154986,1,0.79963624,1,1,0.0007151016034185886,1,0,flat,7.151016034185886,0.0364087054154986,0.0,0.0,0,0
