feature,importance
text_source_count,0.09622103
month,0.063681565
volatility_20,0.062323302
days_from_start,0.060555227
event_text_char_count,0.059814032
week_of_year,0.059541244
has_sec_filing,0.058722008
price_ma_5,0.058371775
volume,0.05830333
price_vs_ma_20,0.057972264
price_vs_ma_5,0.057769395
price_ma_20,0.057334974
volume_vs_ma_5,0.0561306
vol_ma_5,0.054329716
close,0.052510068
sec_event_count,0.03896347
finnhub_event_count,0.031036178
sec_filing_text_count,0.016419942
has_text,0.0
yahoo_event_count,0.0
has_finnhub_news,0.0
has_yahoo_news,0.0
