ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
A,2026-01-01,2026-03-31,-0.0131566882556948,1,0.86132944,1,1,0.020082717761397362,1,0,flat,200.82717761397362,-0.0131566882556948,-0.0,-0.0,0,0
ABT,2026-01-01,2026-03-31,-0.0302820758949557,1,0.714225,1,1,-0.029712773859500885,0,0,flat,-297.12773859500885,-0.0302820758949557,-0.0,-0.0,0,0
ACN,2026-01-01,2026-03-31,-0.0613925320634679,1,0.89566714,1,1,0.003978234250098467,1,0,flat,39.78234250098467,-0.0613925320634679,-0.0,-0.0,0,0
ADBE,2026-01-01,2026-03-31,-0.054459955736738,1,0.7887286,1,1,0.011243805289268494,1,0,flat,112.43805289268494,-0.054459955736738,-0.0,-0.0,0,0
ADI,2026-01-01,2026-03-31,0.0492808782605669,1,0.8599102,1,1,0.01434022095054388,1,0,flat,143.4022095054388,0.0492808782605669,0.0,0.0,0,0
ADSK,2026-01-01,2026-03-31,-0.033729253993088,1,0.68431926,1,1,-0.0003879826399497688,0,0,flat,-3.879826399497688,-0.033729253993088,-0.0,0.0,0,0
AES,2026-01-01,2026-03-31,-0.0169492596216986,1,0.82179344,1,1,0.026696516200900078,1,0,flat,266.9651620090008,-0.0169492596216986,-0.0,0.0,0,0
AIG,2026-01-01,2026-03-31,-0.0099805372032755,0,0.9177383,1,1,0.015526637434959412,1,0,flat,155.26637434959412,-0.0099805372032755,-0.0,0.0,0,0
AKAM,2026-01-01,2026-03-31,-0.0289375669939544,1,0.9466129,1,1,0.017070205882191658,1,0,flat,170.70205882191658,-0.0289375669939544,-0.0,0.0,0,0
ALGN,2026-01-01,2026-03-31,-0.0074508486732323,0,0.96171147,1,1,0.03060063160955906,1,0,flat,306.0063160955906,-0.0074508486732323,-0.0,0.0,0,0
ALL,2026-01-01,2026-03-31,-0.0161378162430692,1,0.8271121,1,1,0.002564598573371768,1,0,flat,25.64598573371768,-0.0161378162430692,-0.0,0.0,0,0
AMAT,2026-01-01,2026-03-31,0.0895785482759199,1,0.971183,1,1,-0.00850017461925745,0,0,flat,-85.0017461925745,0.0895785482759199,0.0,0.0,0,0
AMCR,2026-01-01,2026-03-31,0.0269612818881694,1,0.98898405,1,1,-0.002172717358916998,0,0,flat,-21.72717358916998,0.0269612818881694,0.0,0.0,0,0
AMD,2026-01-01,2026-03-31,0.1006060403425983,1,0.9738636,1,1,0.01953154057264328,1,0,flat,195.3154057264328,0.1006060403425983,0.0,0.0,0,0
AMGN,2026-01-01,2026-03-31,-0.0447485903638984,1,0.7177457,1,1,0.011284330859780312,1,0,flat,112.84330859780312,-0.0447485903638984,-0.0,0.0,0,0
AMT,2026-01-01,2026-03-31,-0.0180908043475709,1,0.9007492,1,1,-0.0008534254739060998,0,0,flat,-8.534254739060998,-0.0180908043475709,-0.0,0.0,0,0
AMZN,2026-01-01,2026-03-31,0.0233722834565515,1,0.9203559,1,1,0.05969710275530815,1,1,long,596.9710275530815,0.0233722834565515,233.72283456551497,233.72283456551497,1,1
AON,2026-01-01,2026-03-31,-0.0173259708332105,1,0.8298069,1,1,0.015376039780676365,1,0,flat,153.76039780676365,-0.0173259708332105,-0.0,233.72283456551497,0,0
