feature,importance
ticker_BRK.B,0.028749932
ticker_NFLX,0.028539618
ticker_LRCX,0.028086364
ticker_MA,0.027887097
ticker_MS,0.027855922
volatility_20,0.027366519
ticker_AVGO,0.027115723
ticker_COST,0.026098333
ticker_CVX,0.024791246
ticker_ORCL,0.024780607
ticker_ABBV,0.024647217
ticker_KO,0.024510829
ticker_GOOG,0.024114557
ticker_AMD,0.024058748
ticker_INTC,0.023938581
volume,0.023709245
ticker_MSFT,0.023471106
days_from_start,0.023332832
ticker_HD,0.023119494
week_of_year,0.022845605
ticker_CAT,0.022673335
ticker_XOM,0.022548072
ticker_BAC,0.022470918
ticker_CSCO,0.022349523
price_ma_20,0.022010129
volume_vs_ma_5,0.021706
price_vs_ma_5,0.021410745
price_ma_5,0.021200377
vol_ma_5,0.020925866
price_vs_ma_20,0.02089646
ticker_UNH,0.020851769
ticker_LLY,0.020561606
ticker_GS,0.020204702
month,0.020015309
ticker_JNJ,0.019497354
event_text_char_count,0.019471787
close,0.019460252
ticker_META,0.018698221
ticker_MRK,0.018545253
ticker_GE,0.017932132
sec_event_count,0.016580738
sec_filing_text_count,0.015896447
ticker_PM,0.015288357
ticker_PG,0.015050176
has_sec_filing,0.014734843
has_finnhub_news,0.0
finnhub_event_count,0.0
has_yahoo_news,0.0
has_text,0.0
text_source_count,0.0
yahoo_event_count,0.0
