ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
EMR,2026-01-01,2026-03-31,0.0498907497777558,1,0.77463454,1,1,0.13344353,1,1,0.2,0.0498907497777558,0.009978149955551161,1,5,0,5,0,long,1
MTD,2026-01-01,2026-03-31,0.0098600639395265,0,0.6328637,1,1,0.12910686,1,1,0.2,0.0098600639395265,0.0019720127879053,1,5,0,5,0,long,1
ROST,2026-01-01,2026-03-31,-0.0027599186758002,0,0.79576474,1,1,0.12379556,1,1,0.2,-0.0027599186758002,-0.0005519837351600401,1,5,0,5,0,long,0
NFLX,2026-01-01,2026-03-31,-0.0052533157850804,0,0.69405025,1,1,0.12176216,1,1,0.2,-0.0052533157850804,-0.00105066315701608,1,5,0,5,0,long,0
GOOG,2026-01-01,2026-03-31,0.0582396480872573,1,0.7284564,1,1,0.119388185,1,1,0.2,0.0582396480872573,0.01164792961745146,1,5,0,5,0,long,1
TMUS,2026-04-01,2026-04-29,0.0492356728473671,1,0.6953781,1,1,0.12728652,1,1,0.2,0.0492356728473671,0.00984713456947342,1,5,0,5,0,long,1
VRSK,2026-04-01,2026-04-29,0.0522604205275377,1,0.7543751,1,1,0.12554951,1,1,0.2,0.0522604205275377,0.01045208410550754,1,5,0,5,0,long,1
PM,2026-04-01,2026-04-29,-0.0072900735111808,0,0.78922874,1,1,0.12463962,1,1,0.2,-0.0072900735111808,-0.0014580147022361602,1,5,0,5,0,long,0
AVB,2026-04-01,2026-04-29,0.0765091986653817,1,0.70325226,1,1,0.12157048,1,1,0.2,0.0765091986653817,0.01530183973307634,1,5,0,5,0,long,1
DVN,2026-04-01,2026-04-29,0.0843139590144784,1,0.7183264,1,1,0.11260177,1,1,0.2,0.0843139590144784,0.01686279180289568,1,5,0,5,0,long,1
