ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
CIEN,2025-12-02,2025-12-08,0.0196450272432338,1,0.6726093570856952,1,1,0.0257416792734226,1,1,0.2,0.0196450272432338,0.0039290054486467605,1,5,0,5,0,long,1
COHR,2025-12-02,2025-12-08,-0.0354869432927219,1,0.685862986430829,1,1,0.0255901640309248,1,1,0.2,-0.0354869432927219,-0.007097388658544381,1,5,0,5,0,long,0
MRNA,2025-12-02,2025-12-08,0.0740993781814165,1,0.6925248811564831,1,1,0.0227134963494259,1,1,0.2,0.0740993781814165,0.0148198756362833,1,5,0,5,0,long,1
LITE,2025-12-02,2025-12-08,-0.018592268773579,1,0.7216483687486519,1,1,0.0218381599271629,1,1,0.2,-0.018592268773579,-0.0037184537547158003,1,5,0,5,0,long,0
STX,2025-12-02,2025-12-08,0.0049775033126508,0,0.659392505056437,1,1,0.021258306772655,1,1,0.2,0.0049775033126508,0.00099550066253016,1,5,0,5,0,long,1
SNDK,2025-12-09,2025-12-15,0.1849926478299592,1,0.6892924526542232,1,1,0.0379223824085623,1,1,0.2,0.1849926478299592,0.03699852956599184,1,5,0,5,0,long,1
LITE,2025-12-09,2025-12-15,0.1558061691325669,1,0.679592878717359,1,1,0.0372573843095704,1,1,0.2,0.1558061691325669,0.031161233826513382,1,5,0,5,0,long,1
DG,2025-12-09,2025-12-15,0.0254368610597237,1,0.6445207850664072,1,1,0.0211811579049239,1,1,0.2,0.0254368610597237,0.00508737221194474,1,5,0,5,0,long,1
MU,2025-12-09,2025-12-15,0.1554967408759735,1,0.6362211494082786,1,1,0.0206450866879696,1,1,0.2,0.1554967408759735,0.031099348175194705,1,5,0,5,0,long,1
MRNA,2025-12-09,2025-12-15,0.1573511996993979,1,0.6349451068890054,1,1,0.0192861078410522,1,1,0.2,0.1573511996993979,0.03147023993987958,1,5,0,5,0,long,1
CIEN,2025-12-16,2025-12-22,0.0042199168304453,0,0.6953781831081662,1,1,0.0220926418650909,1,1,0.2,0.0042199168304453,0.0008439833660890601,1,5,0,5,0,long,1
SNDK,2025-12-16,2025-12-22,-0.0060237847179707,0,0.7308498274438494,1,1,0.0213735915933964,1,1,0.2,-0.0060237847179707,-0.00120475694359414,1,5,0,5,0,long,0
SATS,2025-12-16,2025-12-22,0.0003585045670255,0,0.6622985043623183,1,1,0.0203244434000242,1,1,0.2,0.0003585045670255,7.17009134051e-05,1,5,0,5,0,long,1
VRT,2025-12-16,2025-12-22,-0.0140693234655007,1,0.6181014952502822,1,1,0.0188584266376078,1,1,0.2,-0.0140693234655007,-0.0028138646931001403,1,5,0,5,0,long,0
COHR,2025-12-16,2025-12-22,-0.0244152461288099,1,0.6547403698361258,1,1,0.016140673324222,1,1,0.2,-0.0244152461288099,-0.00488304922576198,1,5,0,5,0,long,0
LITE,2025-12-23,2025-12-29,0.0609254414682471,1,0.6592709616557235,1,1,0.0601269227559046,1,1,0.2,0.0609254414682471,0.012185088293649421,1,5,0,5,0,long,1
GEV,2025-12-23,2025-12-29,0.0295734287429989,1,0.5984701371435357,1,1,0.0260575487357823,1,1,0.2,0.0295734287429989,0.0059146857485997805,1,5,0,5,0,long,1
SNDK,2025-12-23,2025-12-29,0.4257842125921827,1,0.6656144669982047,1,1,0.0234358618825276,1,1,0.2,0.4257842125921827,0.08515684251843654,1,5,0,5,0,long,1
CIEN,2025-12-23,2025-12-29,0.0578974947225414,1,0.5661106421224357,1,1,0.0197278589252064,1,1,0.2,0.0578974947225414,0.011579498944508281,1,5,0,5,0,long,1
MU,2025-12-23,2025-12-29,0.1610018923855412,1,0.6791508606315564,1,1,0.018112360304052,1,1,0.2,0.1610018923855412,0.03220037847710824,1,5,0,5,0,long,1
