ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
SMCI,2026-01-01,2026-03-31,-0.0126001635700447,1,0.7332838591046732,1,1,0.0610865087545108,1,1,0.2,-0.0126001635700447,-0.0025200327140089403,1,5,0,5,0,long,0
HPE,2026-01-01,2026-03-31,0.0101883805995823,1,0.7624013065717822,1,1,0.0398094065828968,1,1,0.2,0.0101883805995823,0.0020376761199164604,1,5,0,5,0,long,1
TKO,2026-01-01,2026-03-31,-0.0617623988435189,1,0.6883210685116222,1,1,0.0382727980763483,1,1,0.2,-0.0617623988435189,-0.01235247976870378,1,5,0,5,0,long,0
FSLR,2026-01-01,2026-03-31,-0.0211061495421573,1,0.7307269604315928,1,1,0.0364727734603627,1,1,0.2,-0.0211061495421573,-0.00422122990843146,1,5,0,5,0,long,0
BX,2026-01-01,2026-03-31,-0.0156442633722884,1,0.7080261655022327,1,1,0.0346846834076697,1,1,0.2,-0.0156442633722884,-0.0031288526744576804,1,5,0,5,0,long,0
CHTR,2026-04-01,2026-04-29,-0.3454731077767001,1,0.8184936979883944,1,1,0.0694828095120619,1,1,0.2,-0.3454731077767001,-0.06909462155534002,1,5,0,5,0,long,0
SMCI,2026-04-01,2026-04-29,-0.0977392085557927,1,0.8115109985561603,1,1,0.0623520451813975,1,1,0.2,-0.0977392085557927,-0.01954784171115854,1,5,0,5,0,long,0
NOW,2026-04-01,2026-04-29,-0.1373032592003676,1,0.6807319388078804,1,1,0.0615187873270217,1,1,0.2,-0.1373032592003676,-0.02746065184007352,1,5,0,5,0,long,0
CMCSA,2026-04-01,2026-04-29,-0.0885930596787344,1,0.8233025438193141,1,1,0.0609718402554661,1,1,0.2,-0.0885930596787344,-0.01771861193574688,1,5,0,5,0,long,0
PSKY,2026-04-01,2026-04-29,-0.1234556662389618,1,0.7539772042751639,1,1,0.0589229549130776,1,1,0.2,-0.1234556662389618,-0.02469113324779236,1,5,0,5,0,long,0
