Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker,week_start,realized_alpha,trade_position,position_weight,period_return_contribution,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_correct_direction,predicted_alpha_score
2026-01-02,0.0018947067188299,-0.0106144058275511,0.0018947067188299,1,100.0,0.18947067188299,0.1894706718829963,long,1,^GSPC,2026-01-02,0.0018947067188299,1,1.0,0.0018947067188299,1,0,1,0,1,
2026-01-05,0.0063541268648263,-0.0040245856319918,0.0082608727905193,1,100.0,0.6354126864826299,0.8260872790519347,long,1,^GSPC,2026-01-05,0.0063541268648263,1,1.0,0.0063541268648263,1,0,1,0,1,
2026-01-06,0.0061967126783413,0.005659000848196,0.0145087757240158,1,100.0,0.61967126783413,1.4508775724015877,long,1,^GSPC,2026-01-06,0.0061967126783413,1,1.0,0.0061967126783413,1,0,1,0,1,
2026-01-07,-0.0034399234310139,0.0035802032074203,0.0110189432154337,1,100.0,-0.34399234310139,1.101894321543373,long,1,^GSPC,2026-01-07,-0.0034399234310139,1,1.0,-0.0034399234310139,1,0,1,0,0,
2026-01-08,7.65482590914246e-05,0.0110963349554451,0.0110963349554453,1,100.0,0.0076548259091424,1.1096334955445375,long,1,^GSPC,2026-01-08,7.65482590914246e-05,1,1.0,7.65482590914246e-05,1,0,1,0,1,
2026-01-09,0.0064754870318832,0.0157191861939078,0.0176436761604341,1,100.0,0.64754870318832,1.7643676160434163,long,1,^GSPC,2026-01-09,0.0064754870318832,1,1.0,0.0064754870318832,1,0,1,0,1,
2026-01-12,0.0015776332151369,0.0108982428368837,0.0192491446251188,1,100.0,0.15776332151369,1.924914462511884,long,1,^GSPC,2026-01-12,0.0015776332151369,1,1.0,0.0015776332151369,1,0,1,0,1,
2026-01-13,-0.0019391230550597,0.0027243917963528,0.0172726951099264,1,100.0,-0.19391230550597,1.727269510992646,long,1,^GSPC,2026-01-13,-0.0019391230550597,1,1.0,-0.0019391230550597,1,0,1,0,0,
2026-01-14,-0.0053333604454995,0.0008192427507562,0.0118472131555404,1,100.0,-0.53333604454995,1.1847213155540492,long,1,^GSPC,2026-01-14,-0.0053333604454995,1,1.0,-0.0053333604454995,1,0,1,0,0,
2026-01-15,0.0025799262171273,0.003324479811501,0.0144577043084876,1,100.0,0.2579926217127299,1.4457704308487695,long,1,^GSPC,2026-01-15,0.0025799262171273,1,1.0,0.0025799262171273,1,0,1,0,1,
2026-01-16,-0.0006423023039563,-0.0037710256178952,0.013806115787744,1,100.0,-0.06423023039563,1.3806115787744044,long,1,^GSPC,2026-01-16,-0.0006423023039563,1,1.0,-0.0006423023039563,1,0,1,0,0,
2026-01-20,-0.0206267580562774,-0.0258568402462544,-0.0071054176785841,1,100.0,-2.06267580562774,-0.7105417678584192,long,1,^GSPC,2026-01-20,-0.0206267580562774,1,1.0,-0.0206267580562774,1,0,1,0,0,
2026-01-21,0.0115877413232745,-0.0126541361713227,0.004399987902637,1,100.0,1.15877413232745,0.439998790263707,long,1,^GSPC,2026-01-21,0.0115877413232745,1,1.0,0.0115877413232745,1,0,1,0,1,
2026-01-22,0.0054875021926288,-0.0019129154005127,0.009911635038529,1,100.0,0.54875021926288,0.99116350385291,long,1,^GSPC,2026-01-22,0.0054875021926288,1,1.0,0.0054875021926288,1,0,1,0,1,
2026-01-23,0.0003268698377891,-0.0041558752028069,0.0102417446908555,1,100.0,0.03268698377891,1.0241744690855592,long,1,^GSPC,2026-01-23,0.0003268698377891,1,1.0,0.0003268698377891,1,0,1,0,1,
2026-01-26,0.0050060830312763,0.0014726513634566,0.0152990987464394,1,100.0,0.5006083031276299,1.529909874643942,long,1,^GSPC,2026-01-26,0.0050060830312763,1,1.0,0.0050060830312763,1,0,1,0,1,
