ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
SMCI,2026-01-01,2026-03-31,-0.0126001635700447,1,0.93221897,1,1,0.1417205482721328,1,1,0.2,-0.0126001635700447,-0.0025200327140089403,1,5,0,5,0,long,0
MU,2026-01-01,2026-03-31,0.1649624995991205,1,0.9762062,1,1,0.096873290836811,1,1,0.2,0.1649624995991205,0.0329924999198241,1,5,0,5,0,long,1
CASY,2026-01-01,2026-03-31,0.00296677503209,0,0.84587556,1,1,0.0789786875247955,1,1,0.2,0.00296677503209,0.0005933550064180001,1,5,0,5,0,long,1
MTD,2026-01-01,2026-03-31,0.0098600639395265,0,0.9382732,1,1,0.0685611516237258,1,1,0.2,0.0098600639395265,0.0019720127879053,1,5,0,5,0,long,1
AMZN,2026-01-01,2026-03-31,0.0233722834565515,1,0.9203559,1,1,0.0596971027553081,1,1,0.2,0.0233722834565515,0.0046744566913103,1,5,0,5,0,long,1
CHTR,2026-04-01,2026-04-29,-0.3454731077767001,1,0.9787275,1,1,0.1416702419519424,1,1,0.2,-0.3454731077767001,-0.06909462155534002,1,5,0,5,0,long,0
URI,2026-04-01,2026-04-29,0.186299420608114,1,0.90757346,1,1,0.1233988106250763,1,1,0.2,0.186299420608114,0.0372598841216228,1,5,0,5,0,long,1
MPWR,2026-04-01,2026-04-29,0.0034267625414213,0,0.905753,1,1,0.1211170628666877,1,1,0.2,0.0034267625414213,0.00068535250828426,1,5,0,5,0,long,1
DELL,2026-04-01,2026-04-29,-0.0416089408481595,1,0.96824306,1,1,0.0984428152441978,1,1,0.2,-0.0416089408481595,-0.0083217881696319,1,5,0,5,0,long,0
LULU,2026-04-01,2026-04-29,-0.1544530292278875,1,0.99501956,1,1,0.0967328920960426,1,1,0.2,-0.1544530292278875,-0.030890605845577502,1,5,0,5,0,long,0
