ticker,cik,filing_date,form,accession_number,primary_document,filing_url
AAPL,0000320193,2026-02-24,8-K,0001140361-26-006577,ef20060722_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/ef20060722_8k.htm
AAPL,0000320193,2026-01-29,8-K,0000320193-26-000005,aapl-20260129.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/aapl-20260129.htm
AAPL,0000320193,2026-01-02,8-K,0001140361-26-000199,ef20060722_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036126000199/ef20060722_8k.htm
AAPL,0000320193,2025-12-05,8-K,0001140361-25-044561,ef20060722_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125044561/ef20060722_8k.htm
AAPL,0000320193,2025-10-30,8-K,0000320193-25-000077,aapl-20251030.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000077/aapl-20251030.htm
AAPL,0000320193,2025-07-31,8-K,0000320193-25-000071,aapl-20250731.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/aapl-20250731.htm
AAPL,0000320193,2025-07-25,8-K,0001140361-25-027340,ef20052355_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/ef20052355_8k.htm
AAPL,0000320193,2025-07-09,8-K,0001140361-25-025275,ef20051741_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/ef20051741_8k.htm
AAPL,0000320193,2025-05-12,8-K,0001140361-25-018400,ef20048691_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125018400/ef20048691_8k.htm
AAPL,0000320193,2025-05-01,8-K,0000320193-25-000055,aapl-20250501.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/aapl-20250501.htm
AAPL,0000320193,2025-02-25,8-K,0001140361-25-005876,ef20044022_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125005876/ef20044022_8k.htm
AAPL,0000320193,2025-01-30,8-K,0000320193-25-000007,aapl-20250130.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000007/aapl-20250130.htm
AAPL,0000320193,2025-01-03,8-K,0001140361-25-000228,ef20040370_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125000228/ef20040370_8k.htm
AAPL,0000320193,2024-10-31,8-K,0000320193-24-000120,aapl-20241031.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000120/aapl-20241031.htm
AAPL,0000320193,2024-09-10,8-K,0001140361-24-040659,ef20035718_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036124040659/ef20035718_8k.htm
AAPL,0000320193,2024-08-26,8-K,0001140361-24-038601,ny20033611x3_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036124038601/ny20033611x3_8k.htm
AAPL,0000320193,2024-08-23,8-K,0001140361-24-038403,ny20033611x2_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036124038403/ny20033611x2_8k.htm
AAPL,0000320193,2024-08-01,8-K,0000320193-24-000080,aapl-20240801.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000080/aapl-20240801.htm
AAPL,0000320193,2024-05-03,8-K,0001140361-24-024352,ef20028273_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036124024352/ef20028273_8k.htm
AAPL,0000320193,2024-05-02,8-K,0000320193-24-000067,aapl-20240502.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000067/aapl-20240502.htm
AAPL,0000320193,2024-02-28,8-K,0001140361-24-010155,ny20022580x1_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036124010155/ny20022580x1_8k.htm
AAPL,0000320193,2024-02-01,8-K,0000320193-24-000005,aapl-20240201.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000005/aapl-20240201.htm
AAPL,0000320193,2023-11-02,8-K,0000320193-23-000104,aapl-20231102.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000104/aapl-20231102.htm
AAPL,0000320193,2023-08-03,8-K,0000320193-23-000075,aapl-20230803.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000075/aapl-20230803.htm
AAPL,0000320193,2023-05-10,8-K,0001140361-23-023909,ny20007635x4_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036123023909/ny20007635x4_8k.htm
AAPL,0000320193,2023-05-04,8-K,0000320193-23-000063,aapl-20230504.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000063/aapl-20230504.htm
AAPL,0000320193,2023-03-10,8-K,0001140361-23-011192,brhc10049413_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036123011192/brhc10049413_8k.htm
AAPL,0000320193,2023-02-02,8-K,0000320193-23-000005,aapl-20230202.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000005/aapl-20230202.htm
AAPL,0000320193,2022-11-07,8-K,0001193125-22-278435,d400465d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522278435/d400465d8k.htm
AAPL,0000320193,2022-10-27,8-K,0000320193-22-000107,aapl-20221027.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/aapl-20221027.htm
AAPL,0000320193,2022-08-19,8-K,0001193125-22-225365,d366128d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522225365/d366128d8k.htm
AAPL,0000320193,2022-08-08,8-K,0001193125-22-214914,d297151d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522214914/d297151d8k.htm
AAPL,0000320193,2022-07-28,8-K,0000320193-22-000069,aapl-20220728.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/aapl-20220728.htm
AAPL,0000320193,2022-04-28,8-K,0000320193-22-000058,aapl-20220428.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/aapl-20220428.htm
AAPL,0000320193,2022-03-04,8-K,0001193125-22-066169,d294699d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522066169/d294699d8k.htm
AAPL,0000320193,2022-01-27,8-K,0000320193-22-000006,aapl-20220127.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm
AAPL,0000320193,2021-11-12,8-K,0001193125-21-328151,d259993d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521328151/d259993d8k.htm
AAPL,0000320193,2021-10-28,8-K,0000320193-21-000104,aapl-20211028.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm
AAPL,0000320193,2021-08-05,8-K,0001193125-21-237787,d199884d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521237787/d199884d8k.htm
AAPL,0000320193,2021-07-27,8-K,0000320193-21-000063,aapl-20210727.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/aapl-20210727.htm
AAPL,0000320193,2021-04-28,8-K,0000320193-21-000055,aapl-20210428.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/aapl-20210428.htm
AAPL,0000320193,2021-02-24,8-K,0001193125-21-054710,d101693d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521054710/d101693d8k.htm
AAPL,0000320193,2021-02-08,8-K,0001193125-21-032394,d70217d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521032394/d70217d8k.htm
AAPL,0000320193,2021-01-27,8-K,0000320193-21-000009,aapl-20210127.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/aapl-20210127.htm
AAPL,0000320193,2021-01-05,8-K,0001193125-21-001982,d29637d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521001982/d29637d8k.htm
AAPL,0000320193,2020-10-29,8-K,0000320193-20-000094,aapl-20201029.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/aapl-20201029.htm
AAPL,0000320193,2020-08-20,8-K,0001193125-20-225672,d937363d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520225672/d937363d8k.htm
AAPL,0000320193,2020-08-07,8-K,0001193125-20-213158,d49399d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520213158/d49399d8k.htm
AAPL,0000320193,2020-07-30,8-K,0000320193-20-000060,aapl-20200730.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/aapl-20200730.htm
AAPL,0000320193,2020-05-11,8-K,0001193125-20-139112,d926511d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520139112/d926511d8k.htm
AAPL,0000320193,2020-04-30,8-K,0000320193-20-000050,a8-kq220203282020.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000050/a8-kq220203282020.htm
AAPL,0000320193,2020-02-27,8-K,0001193125-20-050884,d865740d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520050884/d865740d8k.htm
AAPL,0000320193,2020-02-18,8-K,0001193125-20-039203,d845033d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520039203/d845033d8k.htm
AAPL,0000320193,2020-01-28,8-K,0000320193-20-000008,a8-kq1202012282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/a8-kq1202012282019.htm
AAPL,0000320193,2019-11-15,8-K,0001193125-19-292676,d828969d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312519292676/d828969d8k.htm
AAPL,0000320193,2019-10-30,8-K,0000320193-19-000117,a8-kq420199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000117/a8-kq420199282019.htm
AAPL,0000320193,2019-09-13,8-K,0000320193-19-000093,a8-kseptember201991019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000093/a8-kseptember201991019.htm
AAPL,0000320193,2019-09-11,8-K,0001193125-19-242975,d777124d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312519242975/d777124d8k.htm
AAPL,0000320193,2019-07-30,8-K,0000320193-19-000073,a8-kq320196292019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000073/a8-kq320196292019.htm
AAPL,0000320193,2019-04-30,8-K,0000320193-19-000063,a8-kq220193302019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000063/a8-kq220193302019.htm
AAPL,0000320193,2019-03-04,8-K,0000320193-19-000032,copyofreference8-kform8xkq.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000032/copyofreference8-kform8xkq.htm
AAPL,0000320193,2019-02-06,8-K,0000320193-19-000026,a8-kfebruary2019252019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000026/a8-kfebruary2019252019.htm
AAPL,0000320193,2019-01-29,8-K,0000320193-19-000007,a8-kq1201912292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000007/a8-kq1201912292018.htm
AAPL,0000320193,2019-01-02,8-K,0000320193-19-000002,a8-kjanuary2019122019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000002/a8-kjanuary2019122019.htm
AAPL,0000320193,2018-11-01,8-K,0000320193-18-000142,a8-kq420189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000142/a8-kq420189292018.htm
AAPL,0000320193,2018-07-31,8-K,0000320193-18-000098,a8-kq320186302018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000098/a8-kq320186302018.htm
AAPL,0000320193,2018-05-07,8-K,0001193125-18-154515,d563832d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312518154515/d563832d8k.htm
AAPL,0000320193,2018-05-01,8-K,0000320193-18-000067,a8-kq220183312018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000067/a8-kq220183312018.htm
AAPL,0000320193,2018-02-14,8-K,0001193125-18-045761,d374908d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312518045761/d374908d8k.htm
AAPL,0000320193,2018-02-01,8-K,0000320193-18-000005,a8-kq1201812302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000005/a8-kq1201812302017.htm
AAPL,0000320193,2017-11-13,8-K,0001193125-17-341015,d478060d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517341015/d478060d8k.htm
AAPL,0000320193,2017-11-02,8-K,0000320193-17-000067,a8-kq420179302017.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000067/a8-kq420179302017.htm
AAPL,0000320193,2017-10-12,8-K,0001193125-17-308859,d386231d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517308859/d386231d8k.htm
AAPL,0000320193,2017-09-12,8-K,0001193125-17-282809,d434478d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517282809/d434478d8k.htm
AAPL,0000320193,2017-08-18,8-K,0001193125-17-262261,d593893d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517262261/d593893d8k.htm
AAPL,0000320193,2017-08-01,8-K,0000320193-17-000006,a8-kq32017712017.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000006/a8-kq32017712017.htm
AAPL,0000320193,2017-06-20,8-K,0001193125-17-208226,d413980d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517208226/d413980d8k.htm
AAPL,0000320193,2017-05-24,8-K,0001193125-17-181867,d583637d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517181867/d583637d8k.htm
AAPL,0000320193,2017-05-11,8-K,0001193125-17-167400,d388721d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517167400/d388721d8k.htm
AAPL,0000320193,2017-05-02,8-K,0001628280-17-004663,a8-kq22017412017.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017004663/a8-kq22017412017.htm
AAPL,0000320193,2017-03-03,8-K,0001193125-17-069853,d348450d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517069853/d348450d8k.htm
AAPL,0000320193,2017-03-01,8-K,0001193125-17-064019,d342218d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517064019/d342218d8k.htm
AAPL,0000320193,2017-02-09,8-K,0001193125-17-036283,d340350d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517036283/d340350d8k.htm
AAPL,0000320193,2017-01-31,8-K,0001628280-17-000663,a8-kq1201712312016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017000663/a8-kq1201712312016.htm
AAPL,0000320193,2016-12-15,8-K,0001628280-16-022047,form8-k121316.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016022047/form8-k121316.htm
AAPL,0000320193,2016-10-25,8-K,0001628280-16-020258,a8-kq420169242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020258/a8-kq420169242016.htm
AAPL,0000320193,2016-08-04,8-K,0001193125-16-672044,d234980d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516672044/d234980d8k.htm
AAPL,0000320193,2016-07-26,8-K,0001628280-16-017762,a8-kq320166252016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016017762/a8-kq320166252016.htm
AAPL,0000320193,2016-06-22,8-K,0001193125-16-628957,d209946d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516628957/d209946d8k.htm
AAPL,0000320193,2016-04-26,8-K,0001193125-16-556520,d325078d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516556520/d325078d8k.htm
AAPL,0000320193,2016-03-24,8-K,0001193125-16-516891,d161597d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516516891/d161597d8k.htm
AAPL,0000320193,2016-03-01,8-K,0001193125-16-488223,d150918d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516488223/d150918d8k.htm
AAPL,0000320193,2016-02-23,8-K,0001193125-16-473562,d143184d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516473562/d143184d8k.htm
AAPL,0000320193,2016-01-26,8-K,0001193125-16-438421,d22806d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516438421/d22806d8k.htm
AAPL,0000320193,2015-12-22,8-K,0001193125-15-410853,d55543d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515410853/d55543d8k.htm
AAPL,0000320193,2015-12-17,8-K,0001193125-15-406279,d107635d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515406279/d107635d8k.htm
AAPL,0000320193,2015-10-27,8-K,0001193125-15-354756,d74332d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515354756/d74332d8k.htm
AAPL,0000320193,2015-10-02,8-K,0001193125-15-336615,d10101d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515336615/d10101d8k.htm
AAPL,0000320193,2015-09-17,8-K,0001193125-15-322466,d31615d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515322466/d31615d8k.htm
AAPL,0000320193,2015-07-31,8-K,0001193125-15-273023,d12789d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515273023/d12789d8k.htm
AAPL,0000320193,2015-07-21,8-K,0001193125-15-258464,d927923d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515258464/d927923d8k.htm
AAPL,0000320193,2015-06-10,8-K,0001193125-15-219298,d938654d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515219298/d938654d8k.htm
AAPL,0000320193,2015-05-13,8-K,0001193125-15-186064,d923398d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515186064/d923398d8k.htm
AAPL,0000320193,2015-04-27,8-K,0001193125-15-149607,d914157d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515149607/d914157d8k.htm
AAPL,0000320193,2015-04-27,8-K,0001193125-15-149590,d901296d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515149590/d901296d8k.htm
MSFT,0000789019,2026-01-28,8-K,0001193125-26-027198,msft-20260128.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312526027198/msft-20260128.htm
MSFT,0000789019,2025-12-08,8-K,0001193125-25-311196,d34077d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525311196/d34077d8k.htm
MSFT,0000789019,2025-10-29,8-K,0001193125-25-256310,msft-20251028.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525256310/msft-20251028.htm
MSFT,0000789019,2025-09-30,8-K,0001193125-25-225125,d863209d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525225125/d863209d8k.htm
MSFT,0000789019,2025-07-30,8-K,0000950170-25-100226,msft-20250730.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100226/msft-20250730.htm
MSFT,0000789019,2025-07-01,8-K,0001193125-25-154103,d84624d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525154103/d84624d8k.htm
MSFT,0000789019,2025-04-30,8-K,0000950170-25-061032,msft-20250430.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025061032/msft-20250430.htm
MSFT,0000789019,2025-01-29,8-K,0000950170-25-010484,msft-20250129.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025010484/msft-20250129.htm
